experiment_id,branch,status,question,script_or_source,output_path,notes
existing_full_benchmark_snapshot,both,completed,Do the already completed large benchmarks consistently show raw>rigid>cpd on the same mesh-pair protocol?,existing benchmark outputs,checking_assumptions/outputs/full_benchmark_snapshot.csv,Seed evidence imported from full runs
synthetic_icp_sanity,ifFalse,completed,Does ICP recover obvious synthetic rigid nuisance on identical meshes? If not, the implementation or parameters may be broken.,checking_assumptions/scripts/icp_sanity_suite.py,checking_assumptions/outputs/synthetic_icp_sanity,Rigid ICP passes the basic sanity checks; CPD already looks suspicious on trivial self-pairs
same_vs_diff_gap_probe,both,completed,Does ICP or CPD shrink the same-vs-different identity gap on a controlled cross-topology subset?,checking_assumptions/scripts/same_vs_diff_gap_probe.py,checking_assumptions/outputs/same_vs_diff_gap_probe_all12,Pilot run also saved in sibling dir; larger all12 run is the one to trust
aggregation_effect_note,ifTrue,completed,Can subject-level aggregation average away nuisance noise while pairwise ICP still injects bias?,existing raw mesh-pair vs subject-pair results,ifTrue/status.md,No new run required; interpretive note tied to existing outputs
gt_matrix_sanity,both,completed,Is the GT matrix itself malformed or mismatched with the geometry space used by the benchmark?,checking_assumptions/scripts/gt_matrix_sanity.py,checking_assumptions/outputs/gt_matrix_sanity,Matrix structure and ID mapping look clean; the live concern is a raw-vs-normalized geometry mismatch rather than random corruption
normalized_gt_surrogate_build,both,completed,Can we build a surrogate GT matrix directly in the same per-mesh normalized space used by the benchmark?,checking_assumptions/scripts/build_normalized_gt_surrogate.py,checking_assumptions/outputs/gt_surrogate_normalized_original,Builds a 500-subject surrogate GT from normalized REMESH original meshes
same_vs_diff_gap_probe_surrogate_gt,both,completed,Does the raw-vs-rigid conclusion survive when the controlled probe uses the normalized-space surrogate GT instead of the original GT matrix?,checking_assumptions/scripts/same_vs_diff_gap_probe.py,checking_assumptions/outputs/same_vs_diff_gap_probe_surrogate_gt_all12,On the matched surrogate GT, rigid slightly outperforms raw on different-only Spearman for clean and translation
full_meshpair_surrogate_gt_raw_vs_rigid,both,completed,Does the surrogate-GT flip observed on the controlled subset survive on a larger 100-subject mesh-pair benchmark?,checking_assumptions/scripts/run_surrogate_gt_full_meshpair_raw_vs_rigid.sh,checking_assumptions/outputs/full_meshpair_surrogate_gt_raw_vs_rigid,On the large benchmark raw remains slightly above rigid globally under surrogate GT although several topology-pair winners flip
same_vs_diff_gap_probe_nicp,both,completed,Does nICP rescue ranking on the same controlled all12 subset where raw and rigid were already compared?,checking_assumptions/scripts/same_vs_diff_gap_probe.py,checking_assumptions/outputs/same_vs_diff_gap_probe_all12_nicp,nICP stays below both raw and rigid on different-only Spearman under the original GT
same_vs_diff_gap_probe_nicp_surrogate_gt,both,completed,Does nICP rescue ranking when the controlled all12 probe is evaluated against the normalized-space surrogate GT?,checking_assumptions/scripts/same_vs_diff_gap_probe.py,checking_assumptions/outputs/same_vs_diff_gap_probe_surrogate_gt_all12_nicp,nICP improves versus the original GT but still stays below both raw and rigid on the surrogate GT
full_method_comparison,both,completed,How do raw rigid nICP and CPD compare side by side across the full benchmark and the surrogate-GT reruns?,checking_assumptions/scripts/analyze_full_method_comparison.py,checking_assumptions/outputs/full_method_comparison,Provides scenario-level comparison plus topology-pair raw-vs-rigid winner flips between original and surrogate GT
rigid_icp_example_visuals,both,completed,Can we show concrete before/after rigid-ICP examples where the ranking gets worse pairwise?,checking_assumptions/scripts/render_rigid_icp_examples.py,checking_assumptions/outputs/rigid_icp_example_visuals,Exports visual overlays for top rigid rank-inversion examples from the controlled probe
perturbation_stability_rigid_scenarios,both,completed,Do clean-to-perturbed Chamfer differences stay roughly constant across rigid perturbations?,checking_assumptions/scripts/analyze_perturbation_stability.py,checking_assumptions/outputs/perturbation_stability_rigid_scenarios,Shows Ec/Ep/D for clean vs translation/rotation/mixed on the controlled pair subset
icp_transform_dispersion_rigid_subset,both,completed,How dispersed are pairwise rigid ICP transforms and what happens if we replace them with their mean?,checking_assumptions/scripts/analyze_icp_transform_dispersion.py,checking_assumptions/outputs/icp_transform_dispersion_rigid_subset,Collects rigid transform angles/translations and a mean-ICP sanity check on the controlled probe subset
template_icp_gap_probe,both,completed,Does rigid ICP against a fixed template face preserve the ranking better than pairwise ICP?,checking_assumptions/scripts/template_icp_gap_probe.py,checking_assumptions/outputs/template_icp_gap_probe_all12,Template alignment does not rescue the ranking on the controlled subset; raw Chamfer remains as good or better on most scenarios
template_icp_gap_probe_sweep,both,completed,Does the template choice matter if we align all faces to a fixed canonical reference instead of using pairwise ICP?,checking_assumptions/scripts/template_icp_gap_probe.py,checking_assumptions/outputs/template_icp_gap_probe_sweep,Down8k is the least harmful template on the controlled subset, but every tested template still stays below raw on average
